#TAXONOMY	Kingdom	Phylum	Class	Order	Family	Genus	Species
476e8983f1fdc2d89f6abe3f908fdbbd	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomycetaceae_unclassified	Actinomycetaceae_unclassified
5b0119bcab2c8d21988da0a1e3b791bc	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetales_unclassified	Actinomycetales_unclassified	Actinomycetales_unclassified
de27b075778f3b8d7a02a26c64bb4984	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetales_unclassified	Actinomycetales_unclassified	Actinomycetales_unclassified
5c444d0bebc45f9cee0f16a5a4532846	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetales_unclassified	Actinomycetales_unclassified	Actinomycetales_unclassified
f00955fedb059eed0e46779c9c2edb9f	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetales_unclassified	Actinomycetales_unclassified	Actinomycetales_unclassified
ff60c2a18fb2cb864ae443b1c33879ec	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetales_unclassified	Actinomycetales_unclassified	Actinomycetales_unclassified
894c027c254fca61b361707427c1725d	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetales_unclassified	Actinomycetales_unclassified	Actinomycetales_unclassified
2c0297d0cb0efe583e4bb5aa6bcfb5ba	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetia_unclassified	Actinomycetia_unclassified	Actinomycetia_unclassified	Actinomycetia_unclassified
c6fed104bd4156e8aecb763e8f6923b0	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetia_unclassified	Actinomycetia_unclassified	Actinomycetia_unclassified	Actinomycetia_unclassified
bb7364d1b7e9b3580d835f7fb0be0881	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetia_unclassified	Actinomycetia_unclassified	Actinomycetia_unclassified	Actinomycetia_unclassified
80a58578fe045afe767bd362e3cc93fd	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetia_unclassified	Actinomycetia_unclassified	Actinomycetia_unclassified	Actinomycetia_unclassified
139093d8d8671ec54f06e791bf662ff2	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetia_unclassified	Actinomycetia_unclassified	Actinomycetia_unclassified	Actinomycetia_unclassified
4032107d55a9e7ace34e36683a0d9b66	Bacteria	Actinobacteriota	Actinomycetia	Propionibacteriales	Actinopolymorphaceae	Actinopolymorpha	Actinopolymorpha_unclassified
f143a459c61c4368d92e6a0cea2e147f	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinotignum	Actinotignum schaalii_A_386418
acebe5d713c96dc9f10d70dc335cb596	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	Acutalibacteraceae	Acutalibacteraceae_unclassified	Acutalibacteraceae_unclassified
de320a43be32b00c6c4f2d248ab34e9f	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	Acutalibacteraceae	Acutalibacteraceae_unclassified	Acutalibacteraceae_unclassified
e929fe866735fc9aa77bc18160da27c1	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	Acutalibacteraceae	Acutalibacteraceae_unclassified	Acutalibacteraceae_unclassified
3308eade8b8928c9a8252dc6b08dd9db	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	Acutalibacteraceae	Acutalibacteraceae_unclassified	Acutalibacteraceae_unclassified
6b2cd476241b5323520c8ecde9cc1eee	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	Acutalibacteraceae	Acutalibacteraceae_unclassified	Acutalibacteraceae_unclassified
30d87b6ecf161d5727d7291a0a37c38a	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	Acutalibacteraceae	Acutalibacteraceae_unclassified	Acutalibacteraceae_unclassified
aa14a58097a086f3eb4306851ede023c	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	Acutalibacteraceae	Acutalibacteraceae_unclassified	Acutalibacteraceae_unclassified
759dde0bb6ac3735a7df249b05575015	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Adhaeribacter	Adhaeribacter pallidiroseus
4317c1cebe59dac75eeb5f434417fff2	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia_404257	Adlercreutzia equolifaciens
3a04502de179d97126f2ab423db68048	Bacteria	Actinobacteriota	Actinomycetia	Propionibacteriales	Nocardioidaceae	Aeromicrobium	Aeromicrobium_unclassified
8f0d39f5b4a171e2b2474083581fd8e5	Bacteria	Actinobacteriota	Actinomycetia	Propionibacteriales	Nocardioidaceae	Aeromicrobium	Aeromicrobium_unclassified
